Population Size,Mutation Rate,Crossover Rate,Satisfied Clauses
50,0.1,0.85,135948
50,0.1,0.85,135990
50,0.1,0.85,136007
50,0.1,0.85,136037
50,0.1,0.85,136034
50,0.1,0.85,135808
50,0.1,0.85,135930
50,0.1,0.85,135752
50,0.1,0.85,135927
50,0.1,0.85,135838
50,0.1,0.85,135953
50,0.1,0.85,135849
50,0.1,0.85,135912
50,0.1,0.85,135928
50,0.1,0.85,135919
50,0.1,0.85,135792
50,0.1,0.85,136036
50,0.1,0.85,135808
50,0.1,0.85,135811
50,0.1,0.85,135935
50,0.1,0.85,135857
50,0.1,0.85,136014
50,0.1,0.85,135900
50,0.1,0.85,136102
50,0.1,0.85,136008
50,0.1,0.85,135905
50,0.1,0.85,136015
50,0.1,0.85,135955
50,0.1,0.85,135758
50,0.1,0.85,135969
50,0.1,0.85,135926
50,0.1,0.85,136120
50,0.1,0.85,135906
50,0.1,0.85,135868
50,0.1,0.85,135929
50,0.1,0.85,135903
50,0.1,0.85,135981
50,0.1,0.85,136103
50,0.1,0.85,135873
50,0.1,0.85,135829
50,0.1,0.85,135765
50,0.1,0.85,135806
50,0.1,0.85,135878
50,0.1,0.85,135890
50,0.1,1.0,135838
50,0.1,1.0,136002
50,0.1,1.0,135992
50,0.1,1.0,135781
50,0.1,1.0,136110
50,0.1,1.0,135812
50,0.1,1.0,135779
50,0.1,1.0,135822
50,0.1,1.0,135991
50,0.1,1.0,135846
50,0.1,1.0,135902
50,0.1,1.0,135915
50,0.1,1.0,135845
50,0.1,1.0,135958
50,0.1,1.0,135829
50,0.1,1.0,135784
50,0.1,1.0,136034
50,0.1,1.0,136032
50,0.1,1.0,135942
50,0.1,1.0,135747
50,0.1,1.0,135866
50,0.1,1.0,135964
50,0.1,1.0,135891
50,0.1,1.0,135801
50,0.1,1.0,135740
50,0.1,1.0,135957
50,0.1,1.0,136225
50,0.1,1.0,135879
50,0.1,1.0,135946
50,0.1,1.0,135790
50,0.1,1.0,135982
50,0.1,1.0,135846
50,0.1,1.0,135932
50,0.1,1.0,135969
50,0.1,1.0,135958
50,0.1,1.0,135967
50,0.1,1.0,136007
50,0.1,1.0,135747
50,0.1,1.0,135916
50,0.1,1.0,136050
50,0.1,1.0,135801
50,0.1,1.0,135919
50,0.1,1.0,135835
50,0.1,1.0,135887
50,0.1,1.0,135892
50,0.1,1.0,136010
50,0.1,1.0,135886
50,0.1,1.0,136015
50,0.1,1.0,135817
50,0.1,1.0,135885
50,0.1,1.0,135981
50,0.1,1.0,135946
50,0.1,1.0,135894
50,0.1,1.0,136200
50,0.1,1.0,135832
50,0.1,1.0,135738
50,0.1,1.0,135745
50,0.1,1.0,135904
50,0.1,1.0,135984
50,0.1,1.0,135916
50,0.1,1.0,135794
50,0.1,1.0,135794
50,0.1,1.0,135867
50,0.1,1.0,135842
50,0.1,1.0,135968
50,0.1,1.0,136024
50,0.1,1.0,135828
50,0.1,1.0,135960
50,0.1,1.0,135920
50,0.1,1.0,136045
50,0.1,1.0,135852
50,0.1,1.0,136051
50,0.1,1.0,135891
50,0.1,1.0,135989
50,0.1,1.0,135865
50,0.1,1.0,135838
50,0.1,1.0,135920
50,0.1,1.0,135592
50,0.1,1.0,135821
50,0.1,1.0,135911
50,0.1,1.0,135996
50,0.1,1.0,135677
50,0.1,1.0,135839
50,0.1,1.0,135900
50,0.1,1.0,135846
50,0.1,1.0,135851
50,0.1,1.0,135804
50,0.1,1.0,135963
50,0.1,1.0,135914
50,0.1,1.0,135797
50,0.1,1.0,135897
50,0.1,1.0,136004
50,0.1,1.0,135962
50,0.1,1.0,135956
50,0.1,1.0,136072
50,0.1,1.0,135732
50,0.1,1.0,135756
50,0.1,1.0,135853
50,0.1,1.0,135846
50,0.1,1.0,135901
100,0.01,0.6,135758
100,0.01,0.6,135889
100,0.01,0.6,135781
100,0.01,0.6,135711
100,0.01,0.6,135670
100,0.01,0.6,135680
100,0.01,0.6,135874
100,0.01,0.6,135775
100,0.01,0.6,135673
100,0.01,0.6,135674
100,0.01,0.6,135774
100,0.01,0.6,135743
100,0.01,0.6,135683
100,0.01,0.6,135783
100,0.01,0.6,135708
100,0.01,0.6,135785
100,0.01,0.6,135873
100,0.01,0.6,135639
100,0.01,0.6,136082
100,0.01,0.6,135802
100,0.01,0.6,135663
100,0.01,0.6,135616
100,0.01,0.6,135740
100,0.01,0.6,135972
100,0.01,0.6,135850
100,0.01,0.6,135851
100,0.01,0.6,135707
100,0.01,0.6,135789
100,0.01,0.6,135655
100,0.01,0.6,135793
100,0.01,0.6,135826
100,0.01,0.6,135863
100,0.01,0.6,135771
100,0.01,0.6,135663
100,0.01,0.6,135754
100,0.01,0.6,135793
100,0.01,0.6,135850
100,0.01,0.6,135758
100,0.01,0.6,135927
100,0.01,0.6,135761
100,0.01,0.6,135909
100,0.01,0.6,135892
100,0.01,0.6,135991
100,0.01,0.6,135713
100,0.01,0.6,135912
100,0.01,0.6,135817
100,0.01,0.6,135738
100,0.01,0.6,135847
100,0.01,0.6,135678
100,0.01,0.6,135918
100,0.01,0.6,135848
100,0.01,0.6,135824
100,0.01,0.6,135744
100,0.01,0.6,135875
100,0.01,0.6,135899
100,0.01,0.6,135749
100,0.01,0.6,135859
100,0.01,0.6,135842
100,0.01,0.6,135738
100,0.01,0.6,135765
100,0.01,0.6,135921
100,0.01,0.6,135658
100,0.01,0.6,135935
100,0.01,0.6,135859
100,0.01,0.6,135620
100,0.01,0.6,135810
100,0.01,0.6,135930
100,0.01,0.6,135675
100,0.01,0.6,135773
100,0.01,0.6,136002
100,0.01,0.6,135891
100,0.01,0.6,135930
100,0.01,0.6,135752
100,0.01,0.6,135659
100,0.01,0.6,135752
100,0.01,0.6,135733
100,0.01,0.6,136063
100,0.01,0.6,135775
100,0.01,0.6,135787
100,0.01,0.6,135927
100,0.01,0.6,135857
100,0.01,0.6,135693
100,0.01,0.6,135862
100,0.01,0.6,135814
100,0.01,0.6,135840
100,0.01,0.6,135513
100,0.01,0.6,135638
100,0.01,0.6,135886
100,0.01,0.6,135684
100,0.01,0.6,135715
100,0.01,0.6,135843
100,0.01,0.6,135741
100,0.01,0.6,135633
100,0.01,0.6,135845
100,0.01,0.6,135650
100,0.01,0.6,135841
100,0.01,0.6,135677
100,0.01,0.6,135869
100,0.01,0.6,135907
100,0.01,0.6,135871
100,0.01,0.85,136012
100,0.01,0.85,135954
100,0.01,0.85,135832
100,0.01,0.85,135941
100,0.01,0.85,135843
100,0.01,0.85,135639
100,0.01,0.85,135727
100,0.01,0.85,135829
100,0.01,0.85,136098
100,0.01,0.85,135802
100,0.01,0.85,135773
100,0.01,0.85,135847
100,0.01,0.85,135608
100,0.01,0.85,135701
100,0.01,0.85,135753
100,0.01,0.85,135905
100,0.01,0.85,135753
100,0.01,0.85,135979
100,0.01,0.85,135855
100,0.01,0.85,135817
100,0.01,0.85,135777
100,0.01,0.85,136101
100,0.01,0.85,135947
100,0.01,0.85,135757
100,0.01,0.85,135705
100,0.01,0.85,135755
100,0.01,0.85,135801
100,0.01,0.85,135658
100,0.01,0.85,135743
100,0.01,0.85,135952
100,0.01,0.85,135877
100,0.01,0.85,135819
100,0.01,0.85,135993
100,0.01,0.85,135971
100,0.01,0.85,135984
100,0.01,0.85,135728
100,0.01,0.85,135803
100,0.01,0.85,135845
100,0.01,0.85,135861
100,0.01,0.85,135906
100,0.01,0.85,135962
100,0.01,0.85,136010
100,0.01,0.85,135678
100,0.01,0.85,135852
100,0.01,0.85,135568
100,0.01,0.85,135944
100,0.01,0.85,135908
100,0.01,0.85,135850
100,0.01,0.85,135918
100,0.01,0.85,135836
100,0.01,0.85,135686
100,0.01,0.85,135814
100,0.01,0.85,135843
100,0.01,0.85,135745
100,0.01,0.85,135851
100,0.01,0.85,135815
100,0.01,0.85,135674
100,0.01,0.85,135974
100,0.01,0.85,135692
100,0.01,0.85,135671
100,0.01,0.85,135942
100,0.01,0.85,135833
100,0.01,0.85,135660
100,0.01,0.85,135699
